ARTIST,SONG TITLE,DISC CODE
(Hed) Planet Earth,Blackout,KVD-29484
(Hed) Planet Earth,Other Side,KVD-29955
£1 Fish Man,One Pound Fish,KVD-42513
10000 Maniacs,Because The Night,KVD-11395
10CC,I'm Not In Love,KVD-13798
10CC,Things We Do For Love,KVD-31793
112,Cupid,KVD-20579
112,Peaches And Cream,KVD-29097
12 Gauge,Dunkie Butt,KVD-30757
1930s Standards,Santa Claus Is Coming To Town,KVD-41041
1960s Standards,Love Me With All Your Heart,KVD-28808
2 Brothers On The 4th Floor (Duet),Let Me Be Free,KVD-42690
2 Chainz & Wiz Khalifa (Solo),We Own It (Fast & Furious),KVD-44085
2 Live Crew,Me So Horny,KVD-55488
2 Live Crew,We Want Some Pussy (Explicit),KVD-57155
2 Shy,I'd Love You To Want Me,KVD-34816
20 Fingers,Lick It,KVD-17239
20 Fingers & Gillette,Short Dick Man,KVD-42669
2Pac & Digital Underground,I Get Around,KVD-29046
2Pac & Dr. Dre & Roger Troutman (Dre Solo),California Love (Radio Edit),KVD-28222
2Pac & Dr. Dre & Roger Troutman (Trio),California Love (Original Single Version),KVD-35574
2Pac & Dr. Dre & Roger Troutman (Trio),California Love (Remix Full),KVD-12691
2Pac & Eric Williams,Do For Love,KVD-34989
3 Doors Down,Behind Those Eyes,KVD-14832
3 Doors Down,Going Down In Flames,KVD-28297
3 Doors Down,Here Without You,KVD-05740
3 Doors Down,It's Not My Time (I Won't Go),KVD-19789
3 Doors Down,Kryptonite,KVD-07383
3 Doors Down,Live For Today,KVD-14833
3 Doors Down,When I'm Gone,KVD-07196
311,Love Song,KVD-42501
311,You Wouldn't Believe,KVD-05814
38 Special,Caught Up In You,KVD-14834
38 Special,Hold On Loosely,KVD-52786
38 Special,Second Chance,KVD-10893
3LW,No More (Baby I'ma Do Right),KVD-14835
3OH!3 & Katy Perry (Duet),Starstrukk,KVD-25572
3T,24 7,KVD-35571
3T,I Need You,KVD-21056
5 Seconds Of Summer,Amnesia,KVD-47402
5 Seconds Of Summer,Ghost Of You,KVD-56017
5 Seconds Of Summer,Teeth,KVD-59300
5 Seconds Of Summer,What I Like About You,KVD-50428
50 Cent,In Da Club,KVD-12410
5th Dimension,Last Night I Didn't Get To Sleep At All,KVD-28804
5th Dimension,One Less Bell To Answer,KVD-11095
5th Dimension,Stoned Soul Picnic,KVD-25214
5th Dimension,Up Up And Away,KVD-10357
98 Degrees,My Everything,KVD-07691
98 Degrees,Why (Are We Still Friends),KVD-26282
98 Degrees & Stevie Wonder,True To Your Heart,KVD-09068
A Day To Remember,All I Want,KVD-38737
A Fine Frenzy,Almost Lover,KVD-19809
A Fine Frenzy,Ashes And Wine,KVD-44399
A Fine Frenzy,Ashes And Wine (2013),KVD-44399-1
A Fine Frenzy,Ashes And Wine (2016),KVD-44399-2
A Fine Frenzy,Near To You,KVD-38544
A Perfect Circle,3 Libras,KVD-43996
A Perfect Circle,Judith,KVD-45086
A$AP Rocky & Skrillex & Birdy Nam Nam (Duet),Wild For The Night (Explicit) (R),KVD-43188
Aaliyah,At Your Best (You Are Love),KVD-22296
Aaliyah,I Don't Wanna,KVD-27537
Aaliyah & R. Kelly (Duet),Back And Forth,KVD-31666
Aaliyah & Timbaland (Duet),Are You That Somebody,KVD-14852
AaRON,U-Turn (Lili),KVD-13097
Aaron Carter,Bounce,KVD-16783
Aaron Goodvin,Lonely Drum,KVD-53640
Aaron Lewis,Country Boy,KVD-56312
Aaron Lewis,That Ain't Country,KVD-51936
Aaron Tippin,Kiss This,KVD-07477
Aaron Tippin,Where The Stars & Stripes & The Eagle Fly,KVD-08002
Aaron Watson,Freight Train,KVD-58343
Aaron Watson,Outta Style,KVD-55022
Aaron Watson,That Look,KVD-50535
ABBA,Gimme Gimme Gimme,KVD-09159
ABBA,"My Love, My Life",KVD-39233
ABBA,"One Man, One Woman",KVD-39228
ABBA,Under Attack,KVD-20693
ABBA,Way Old Friends Do,KVD-32498
ABBA,When All Is Said And Done,KVD-30097
ABBA,When I Kissed The Teacher,KVD-17525
ABBA (Duet),He Is Your Brother,KVD-20508
ABBA (Duet),Hole In Your Soul,KVD-46018
ABBA (Duet),Honey Honey,KVD-20691
ABC,When Smokey Sings,KVD-27958
Abel,Onderweg (Dutch),KVD-38476
AC-DC,Back In Black,KVD-12411
AC-DC,Big Gun,KVD-21764
AC-DC,Dirty Deeds Done Dirt Cheap,KVD-41839
AC-DC,Girls Got Rhythm,KVD-47424
AC-DC,Go Down,KVD-25485
AC-DC,Heatseeker,KVD-52223
AC-DC,Hells Bells,KVD-13787
AC-DC,Highway To Hell,KVD-12416
AC-DC,If You Want Blood (You've Got It),KVD-46334
AC-DC,It's A Long Way To The Top,KVD-25975
AC-DC,Jailbreak,KVD-40752
AC-DC,Let There Be Rock (R),KVD-41919-1
AC-DC,Ride On,KVD-46256
AC-DC,Riff Raff,KVD-61500
AC-DC,Rock N Roll Dream,KVD-32349
AC-DC,Rock N Roll Train,KVD-21540
AC-DC,Shoot To Thrill (R),KVD-30738-1
AC-DC,Shot Down In Flames,KVD-46333
AC-DC,Stiff Upper Lip,KVD-07298
AC-DC,TNT,KVD-20514
AC-DC,Whole Lotta Rosie,KVD-21939
AC-DC,You Shook Me All Night Long,KVD-10104
AC-DC (Wbgv),For Those About To Rock (R),KVD-50498-1
AC-DC (Wbgv),Given The Dog A Bone (R),KVD-59956-1
AC-DC (Wbgv),Have A Drink On Me (R),KVD-51147-1
AC-DC (Wbgv),High Voltage (R),KVD-39620-1
AC-DC (Wbgv),Jack (R),KVD-38602-1
AC-DC (Wbgv),Live Wire (R),KVD-59768-1
AC-DC (Wbgv),Night Prowler (R),KVD-39108-1
AC-DC (Wbgv),Play Ball (R),KVD-47790-1
AC-DC (Wbgv),Problem Child (R),KVD-59954-1
AC-DC (Wbgv),Rock N Roll Ain't Noise Pollution (R),KVD-50346-1
AC-DC (Wbgv),Rock Or Bust (R),KVD-48260-1
AC-DC (Wbgv),Thunderstruck,KVD-21541-1
AC-DC (Wbgv),Touch Too Much (R),KVD-30905-1
AC-DC (Wobgv),For Those About To Rock (R),KVD-50498-2
AC-DC (Wobgv),Given The Dog A Bone (R),KVD-59956-2
AC-DC (Wobgv),Have A Drink On Me (R),KVD-51147-2
AC-DC (Wobgv),Hell Ain't A Bad Place To Be (R),KVD-48009-1
AC-DC (Wobgv),High Voltage (R),KVD-39620-2
AC-DC (Wobgv),Jack (R),KVD-38602-2
AC-DC (Wobgv),Live Wire (R),KVD-59768-2
AC-DC (Wobgv),Night Prowler (R),KVD-39108-2
AC-DC (Wobgv),Play Ball (R),KVD-47790-2
AC-DC (Wobgv),Problem Child (R),KVD-59954-2
AC-DC (Wobgv),Rock N Roll Ain't Noise Pollution (R),KVD-50346-2
AC-DC (Wobgv),Rock Or Bust (R),KVD-48260-2
AC-DC (Wobgv),Thunderstruck,KVD-21541-2
AC-DC (Wobgv),Touch Too Much (R),KVD-30905-2
Ace,How Long,KVD-20778
Ace Of Base,All That She Wants,KVD-07115
Ace Of Base,Cruel Summer,KVD-09147
Ace Of Base,Travel To Romantis,KVD-45880
Adam & Eve,Do U Wanna Be My Luv (English+French),KVD-39997
Adam & The Ants,Ant Music,KVD-33646
Adam & The Ants,Strip,KVD-36907
Adam Cohen,We Go Home,KVD-51707
Adam Craig,Just A Phase,KVD-53554
Adam Lambert,Aftermath,KVD-34337
Adam Lambert,Another Lonely Night,KVD-50655
Adam Lambert,Believe,KVD-57270
Adam Lambert,Broken Open,KVD-32686
Adam Lambert,Change Is Gonna Come,KVD-26525
Adam Lambert,Feel Something,KVD-57964
Adam Lambert,Feeling Good,KVD-30652
