ARTIST,SONG TITLE,DISC CODE
4 Non Blondes,What's Up,LEGENDS-0001
5ive,Everybody Get Up,LEGENDS-0002
5ive,If Ya Gettin' Down,LEGENDS-0003
5ive,Keep On Movin',LEGENDS-0004
5ive & Queen,We Will Rock You,LEGENDS-0005
5th Dimension,"Aquarius, Let The Sun Shine In",LEGENDS-0006
5th Dimension,Go Where You Wanna Go,LEGENDS-0007
5th Dimension,Last Night I Didn't Get To Sleep At All,LEGENDS-0008
5th Dimension,Never My Love,LEGENDS-0009
5th Dimension,One Less Bell To Answer,LEGENDS-0010
5th Dimension,Stoned Soul Picnic,LEGENDS-0011
5th Dimension,Up Up And Away,LEGENDS-0012
5th Dimension,Wedding Bell Blues,LEGENDS-0013
ABBA,Chiquitita,LEGENDS-0014
ABBA,Dancing Queen (V1),LEGENDS-0015
ABBA,Dancing Queen (V2),LEGENDS-0016
ABBA,Does Your Mother Know,LEGENDS-0017
ABBA,Fernando,LEGENDS-0018
ABBA,Gimme Gimme Gimme,LEGENDS-0019
ABBA,Honey Honey,LEGENDS-0020
ABBA,I Do I Do I Do I Do I Do,LEGENDS-0021
ABBA,Knowing Me Knowing You,LEGENDS-0022
ABBA,Lay All Your Love On Me,LEGENDS-0023
ABBA,Mamma Mia,LEGENDS-0024
ABBA,Money Money Money,LEGENDS-0025
ABBA,Ring Ring,LEGENDS-0026
ABBA,SOS,LEGENDS-0027
ABBA,Super Trouper,LEGENDS-0028
ABBA,Take A Chance On Me,LEGENDS-0029
ABBA,Voulez Vous,LEGENDS-0030
ABBA,Waterloo,LEGENDS-0031
ABBA,Winner Takes It All,LEGENDS-0032
AC-DC,Back In Black,LEGENDS-0033
AC-DC,Big Gun,LEGENDS-0034
AC-DC,Dirty Deeds Done Dirt Cheap,LEGENDS-0035
AC-DC,For Those About To Rock,LEGENDS-0036
AC-DC,Girls Got Rhythm,LEGENDS-0037
AC-DC,Hells Bells,LEGENDS-0038
AC-DC,High Voltage,LEGENDS-0039
AC-DC,Highway To Hell,LEGENDS-0040
AC-DC,Jailbreak,LEGENDS-0041
AC-DC,Moneytalks,LEGENDS-0042
AC-DC,Shoot To Thrill,LEGENDS-0043
AC-DC,Stiff Upper Lip,LEGENDS-0044
AC-DC,Thunderstruck,LEGENDS-0045
AC-DC,Who Made Who,LEGENDS-0046
AC-DC,Whole Lotta Rosie,LEGENDS-0047
AC-DC,You Shook Me All Night Long,LEGENDS-0048
Ace,How Long,LEGENDS-0049
Ace Of Base,All That She Wants,LEGENDS-0050
Adam Sandler,Ode To My Car,LEGENDS-0051
Aerosmith,Angel,LEGENDS-0052
Aerosmith,Back In The Saddle,LEGENDS-0053
Aerosmith,Crazy,LEGENDS-0054
Aerosmith,Cryin',LEGENDS-0055
Aerosmith,Dream On,LEGENDS-0056
Aerosmith,Dude (Looks Like A Lady),LEGENDS-0057
Aerosmith,I Don't Want To Miss A Thing,LEGENDS-0058
Aerosmith,Jaded,LEGENDS-0059
Aerosmith,Janie's Got A Gun,LEGENDS-0060
Aerosmith,Livin' On The Edge,LEGENDS-0061
Aerosmith,Love In An Elevator,LEGENDS-0062
Aerosmith,Other Side,LEGENDS-0063
Aerosmith,Rag Doll,LEGENDS-0064
Aerosmith,Same Old Song And Dance,LEGENDS-0065
Aerosmith,Sweet Emotion,LEGENDS-0066
Aerosmith,Walk This Way,LEGENDS-0067
Aerosmith,What It Takes,LEGENDS-0068
Aerosmith & Run D.M.C. (Solo),Walk This Way,LEGENDS-0069
Air Supply,All Out Of Love,LEGENDS-0070
Air Supply,Even The Nights Are Better,LEGENDS-0071
Air Supply,Every Woman In The World,LEGENDS-0072
Air Supply,Here I Am (Just When I Thought I Was Over You),LEGENDS-0073
Air Supply,Lost In Love,LEGENDS-0074
Air Supply,Making Love Out Of Nothing At All,LEGENDS-0075
Air Supply,One That You Love,LEGENDS-0076
Air Supply,Sweet Dreams,LEGENDS-0077
Air Supply,Two Less Lonely People In The World,LEGENDS-0078
Al Green,Call Me (Come Back Home),LEGENDS-0079
Al Green,Here I Am (Come And Take Me),LEGENDS-0080
Al Green,How Can You Mend A Broken Heart,LEGENDS-0081
Al Green,I'm Still In Love With You,LEGENDS-0082
Al Green,Let's Stay Together,LEGENDS-0083
Al Green,Look What You Done For Me,LEGENDS-0084
Al Green,L-O-V-E,LEGENDS-0085
Al Green,Sha La La (Make Me Happy),LEGENDS-0086
Al Green,You Ought To Be With Me,LEGENDS-0087
Al Jarreau,We're In This Love Together,LEGENDS-0088
Al Jolson,After You've Gone,LEGENDS-0089
Al Jolson,April Showers,LEGENDS-0090
Al Jolson,California Here I Come,LEGENDS-0091
Al Jolson,I'm Sitting On Top Of The World,LEGENDS-0092
Al Jolson,My Mammy,LEGENDS-0093
Al Jolson,Rock-A-Bye Your Baby With A Dixie Melody,LEGENDS-0094
Al Jolson,Swanee,LEGENDS-0095
Al Jolson,"Toot, Toot, Tootsie (Goodbye)",LEGENDS-0096
Al Martino,Daddy's Little Girl,LEGENDS-0097
