ARTIST,SONG TITLE,DISC CODE
10000 Maniacs,Because The Night,MM-10573
10000 Maniacs,Like The Weather,MM-10974
10000 Maniacs,More Than This,MM-13134
10CC,I'm Not In Love,MM-13103
112,Peaches And Cream,MM-15070
2Pac,Changes,MM-15575
2Pac & Dr. Dre & Roger Troutman (Solo),California Love (Radio Edit),MM-12522
2Pac & Eric Williams,Do For Love,MM-14387
2Pac & K-Ci & JoJo,How Do You Want It,MM-16390
3 Doors Down,Away From The Sun,MM-15994
3 Doors Down,Be Like That,MM-15056
3 Doors Down,Here Without You,MM-15820
3 Doors Down,Kryptonite,MM-14512
3 Doors Down,Let Me Go,MM-16311
3 Doors Down,When I'm Gone,MM-15531
3 Of Hearts,Love Is Enough,MM-14968
311,Love Song,MM-16181
38 Special,Caught Up In You,MM-12856
38 Special,If I'd Been The One,MM-12849
4 Non Blondes,What's Up,MM-10456
4 P.M.,Sukiyaki,MM-11343
4 Runner,Cain's Blood,MM-11466
4 Runner,Heart With 4-Wheel Drive,MM-11537
4 Runner,Ripples,MM-11983
4 Runner,That Was Him,MM-12395
5 Stairsteps,Ooh Child,MM-15386
50 Cent,In Da Club,MM-15817
50 Cent & Nate Dogg (Solo),21 Questions,MM-15805
5th Dimension,Last Night I Didn't Get To Sleep At All,MM-14997
5th Dimension,One Less Bell To Answer,MM-11440
702,Get It Together,MM-13417
98 Degrees,Because Of You,MM-13790
98 Degrees,Give Me Just One Night,MM-14639
98 Degrees,Hardest Thing,MM-13983
98 Degrees,I Do (Cherish You),MM-14125
98 Degrees,Invisible Man,MM-13139
98 Degrees,My Everything,MM-14750
Aaliyah,Hot Like Fire,MM-13416
Aaliyah,One I Gave My Heart To,MM-13384
Aaliyah & Timbaland (Fsolo),We Need A Resolution,MM-15074
Aaron Carter,I Want Candy,MM-15928
Aaron Lines,Love Changes Everything,MM-15717
Aaron Lines,Waitin' On The Wonderful,MM-16355
Aaron Lines,You Can't Hide Beautiful,MM-15521
Aaron Neville,Don't Take Away My Heaven,MM-10673
Aaron Neville,Tell It Like It Is,MM-10814
Aaron Tippin,Always Was,MM-15090
Aaron Tippin,Door,MM-12969
Aaron Tippin,Everything I Own,MM-12345
Aaron Tippin,For You I Will,MM-13702
Aaron Tippin,Her,MM-14057
Aaron Tippin,How's The Radio Know,MM-12654
Aaron Tippin,I'll Take Love Over Money,MM-15342
Aaron Tippin,I'm Leaving,MM-13874
Aaron Tippin,Kiss This,MM-14573
Aaron Tippin,People Like Us,MM-14775
Aaron Tippin,That's As Close As I'll Get To Loving You,MM-11734
Aaron Tippin,That's What Happens When I Hold You,MM-12810
Aaron Tippin,There Ain't Nothin' Wrong With The Radio,MM-10170
Aaron Tippin,What This Country Needs,MM-14245
Aaron Tippin,Where The Stars & Stripes & The Eagle Fly,MM-15160
Aaron Tippin,Without Your Love,MM-12023
Aaron Tippin & Thea Tippin (Duet),Love Like There's No Tomorrow,MM-15555
ABBA,Angel Eyes,MM-15276
ABBA,As Good As New,MM-15268
ABBA,Chiquitita,MM-14424
ABBA,Dancing Queen,MM-12006
ABBA,Does Your Mother Know,MM-14425
ABBA,Fernando,MM-14433
ABBA,Gimme Gimme Gimme,MM-14426
ABBA,Happy New Year,MM-15273
ABBA,Hasta Manana,MM-15274
ABBA,Head Over Heels,MM-15270
ABBA,I Do I Do I Do I Do I Do,MM-14427
ABBA,I Have A Dream,MM-14428
ABBA,Knowing Me Knowing You,MM-14429
ABBA,Lay All Your Love On Me,MM-15266
ABBA,Mamma Mia,MM-14435
ABBA,Money Money Money,MM-15264
ABBA,Name Of The Game,MM-14432
ABBA,One Of Us,MM-15271
ABBA,Ring Ring,MM-15269
ABBA,Rock Me,MM-15275
ABBA,So Long,MM-15277
ABBA,SOS,MM-14430
ABBA,Super Trouper,MM-14434
