ARTIST,SONG TITLE,DISC CODE
£1 Fish Man,One Pound Fish,SF-1112987
10CC,Donna,SF-1100018
10CC,Don't Turn Me Away,SF-1112379
10CC,Dreadlock Holiday,SF-1100019
10CC,Feel The Love,SF-1112380
10CC,Food For Thought,SF-1112381
10CC,Good Morning Judge,SF-1112382
10CC,I'm Mandy,SF-1100020
10CC,I'm Not In Love,SF-1100021
10CC,Life Is A Minestrone,SF-1112383
10CC,One Two Five,SF-1112384
10CC,People In Love,SF-1112385
10CC,Rubber Bullets,SF-1100022
10CC,Silly Love,SF-1112386
10CC,Things We Do For Love,SF-1100023
10CC,Wall Street Shuffle,SF-1100024
10CC,Woman In Love,SF-1112387
1910 Fruitgum Company,Simon Says,SF-1100025
2 Evisa,Oh La La La,SF-1100029
2 Unlimited (Duet),No Limit,SF-1100031
21st Century Girls,21st Century Girls,SF-1100032
2Pac & Dr. Dre & Roger Troutman (Solo),California Love (Radio Edit),SF-1100030
3 Doors Down,Kryptonite,SF-1109406
30 Seconds To Mars,Closer To The Edge,SF-1110644
30 Seconds To Mars,Kings And Queens,SF-1110160
30 Seconds To Mars,Rescue Me,SF-1119297
30 Seconds To Mars,Up In The Air (Clean),SF-1113248
3OH!3,Don't Trust Me,SF-1109722
3OH!3 & Katy Perry (Duet),Starstrukk,SF-1110099
3OH!3 & KeSha (Duet),My First Kiss,SF-1110533
3SL,Take It Easy,SF-1107847
3T,Anything,SF-1101886
3T & Michael Jackson,Why,SF-1100427
4 Non Blondes,What's Up,SF-1100036
411,Dumb,SF-1100037
411,Teardrops,SF-1107530
411 & Ghostface (Solo),On My Knees,SF-1107529
5 Seconds Of Summer,Amnesia,SF-1114583
5 Seconds Of Summer,Don't Stop,SF-1114328
5 Seconds Of Summer,Fly Away,SF-1115443
5 Seconds Of Summer,Girls Talk Boys,SF-1116412
5 Seconds Of Summer,Good Girls,SF-1114710
5 Seconds Of Summer,Hey Everybody!,SF-1115865
5 Seconds Of Summer,She Looks So Perfect,SF-1113904
5 Seconds Of Summer,She's Kinda Hot,SF-1115384
5 Seconds Of Summer,Youngblood,SF-1119300
50 Cent,Candy Shop,SF-1100040
50 Cent,In Da Club,SF-1100041
50 Cent,Just A Lil' Bit,SF-1100042
50 Cent & Eminem & Adam Levine (Duet),My Life (Clean),SF-1112999
50 Cent & Nate Dogg (Solo),21 Questions,SF-1100043
50 Cent & Snoop Dogg & Young Jeezy (Trio),Major Distribution (Clean),SF-1113056
5ive,Closer To Me,SF-1100044
5ive,Don't Wanna Let You Go,SF-1100045
5ive,Everybody Get Up,SF-1100046
5ive,Got The Feelin',SF-1100047
5ive,If Ya Gettin' Down,SF-1100048
5ive,Invincible,SF-1105811
5ive,It's The Things You Do,SF-1100050
5ive,Keep On Movin',SF-1102890
5ive,Let's Dance,SF-1101993
5ive,Until The Time Is Through,SF-1100052
5ive,When The Lights Go Out,SF-1102892
5ive & Queen,We Will Rock You,SF-1106161
5th Dimension,"Aquarius, Let The Sun Shine In",SF-1107531
5th Dimension,Up Up And Away,SF-1100053
6LACK & J. Cole,Pretty Little Fears (Explicit),SF-1119409
911,All I Want Is You,SF-1100055
911,How Do You Want Me To Love You,SF-1100056
911,Journey,SF-1100060
911,Little Bit More,SF-1100054
911,More Than A Woman,SF-1100078
911,Party People (Friday Night),SF-1100058
911 (Solo),Private Number,SF-1100059
98 Degrees,Because Of You,SF-1103111
A (Band),Nothing,SF-1100062
A.L.T. & The Lost Civilization,Tequila,SF-1100315
A.R. Rahman & Pussycat Dolls & Nicole Scherzinger (Duet),Jai Ho! (You Are My Destiny),SF-1109617
A1,Caught In The Middle,SF-1100068
A1,Everytime,SF-1101256
A1,Like A Rose,SF-1100070
A1,Make It Good,SF-1100071
A1,No More,SF-1100072
A1,Ready Or Not,SF-1100073
A1,Same Old Brand New You,SF-1100074
A1,Summertime Of Our Lives,SF-1100075
A1,Take On Me,SF-1100180
Aaliyah,I Don't Wanna,SF-1100077
Aaliyah,More Than A Woman,SF-1107484
Aaliyah,Try Again,SF-1100079
Aaliyah & Timbaland (Duet),We Need A Resolution,SF-1100080
Aaron Pritchett,Hold My Beer,SF-1100082
Aaron Tippin,Where The Stars & Stripes & The Eagle Fly,SF-1100083
ABBA,Angel Eyes,SF-1100085
ABBA,As Good As New,SF-1100086
ABBA,Chiquitita,SF-1100087
ABBA,Dancing Queen,SF-1100088
ABBA,Day Before You Came,SF-1100111
ABBA,Does Your Mother Know,SF-1100089
ABBA,Fernando,SF-1100090
ABBA,Gimme Gimme Gimme,SF-1100091
ABBA,Happy New Year,SF-1100092
ABBA,Hasta Manana,SF-1110793
ABBA,Head Over Heels,SF-1107489
ABBA,Honey Honey,SF-1100094
ABBA,I Do I Do I Do I Do I Do,SF-1100095
ABBA,I Have A Dream,SF-1100096
ABBA,Knowing Me Knowing You,SF-1100097
ABBA,Lay All Your Love On Me,SF-1100098
ABBA,Mamma Mia,SF-1115556
ABBA,Money Money Money,SF-1100100
ABBA,Name Of The Game,SF-1100112
ABBA,One Of Us,SF-1100101
ABBA,Ring Ring,SF-1102286
ABBA,Rock Me,SF-1100103
ABBA,So Long,SF-1100105
ABBA,SOS,SF-1106362
ABBA,Super Trouper,SF-1100108
ABBA,Take A Chance On Me,SF-1100109
ABBA,Thank You For The Music,SF-1100110
ABBA,Voulez Vous,SF-1100114
ABBA,Waterloo,SF-1100115
ABBA,Winner Takes It All,SF-1100116
ABBA (Solo),Summer Night City,SF-1100107
ABC,All Of My Heart,SF-1100117
ABC,Look Of Love,SF-1102406
ABC,Poison Arrow,SF-1100118
ABC,When Smokey Sings,SF-1100119
ABS,7 Ways,SF-1100120
ABS,Little Miss Perfect,SF-1100121
ABS,What You Got,SF-1100122
AC-DC,Back In Black,SF-1100123
AC-DC,Big Gun,SF-1109760
AC-DC,For Those About To Rock,SF-1100124
AC-DC,Heatseeker,SF-1100125
AC-DC,Hells Bells,SF-1100126
AC-DC,Highway To Hell,SF-1100127
AC-DC,It's A Long Way To The Top,SF-1100128
AC-DC,Jack,SF-1100133
AC-DC,Jailbreak,SF-1109395
AC-DC,Let There Be Rock,SF-1100129
AC-DC,Meltdown,SF-1109761
AC-DC,Moneytalks,SF-1109762
AC-DC,Play Ball,SF-1114716
AC-DC,Rock N Roll Train,SF-1109429
AC-DC,Rocker,SF-1100130
AC-DC,Shoot To Thrill,SF-1115567
AC-DC,Stiff Upper Lip,SF-1100131
AC-DC,Thunderstruck,SF-1100134
AC-DC,TNT,SF-1100132
AC-DC,Whole Lotta Rosie,SF-1100135
AC-DC,You Shook Me All Night Long,SF-1100136
Ace,How Long,SF-1100137
Ace Of Base,All That She Wants,SF-1100138
Ace Of Base,"Always Have, Always Will",SF-1100139
Ace Of Base,Beautiful Life,SF-1100140
Ace Of Base,Don't Turn Around,SF-1100520
Ace Of Base,Everytime It Rains,SF-1100142
Ace Of Base,Happy Nation,SF-1100155
Ace Of Base,Life Is A Flower,SF-1100143
Ace Of Base,Living In Danger,SF-1100144
Ace Of Base,Sign,SF-1100145
Adam & The Ants,Ant Music,SF-1100146
Adam & The Ants,Goody Two Shoes,SF-1100147
Adam & The Ants,Prince Charming,SF-1100148
Adam & The Ants,Stand And Deliver,SF-1100149
Adam Brand,Ready For Love,SF-1110468
Adam Faith,How About That,SF-1100150
Adam Faith,Poor Me,SF-1100151
Adam Faith,Time Has Come,SF-1100152
Adam Faith,What Do You Want,SF-1100153
Adam Harvey,Better Than This,SF-1110805
Adam Harvey & Troy Cassar-Daley (Solo),Seven Spanish Angels,SF-1110416
Adam Lambert,Better Than I Know Myself,SF-1112288
Adam Lambert,Ghost Town,SF-1115232
Adam Lambert,If I Had You,SF-1110638
Adam Lambert,Never Close Our Eyes,SF-1112613
Adam Lambert,Time For Miracles,SF-1110404
Adam Lambert,Whataya Want From Me,SF-1110279
Adam Levine,Lost Stars,SF-1114591
Adam Rickitt,I Breathe Again,SF-1100154
Adamski & Seal,Killer,SF-1100156
Adele,All I Ask,SF-1116142
Adele,Best For Last,SF-1112250
Adele,Chasing Pavements,SF-1100157
Adele,Cold Shoulder,SF-1100158
Adele,Crazy For You,SF-1112251
Adele,Daydreamer,SF-1112249
Adele,Don't You Remember,SF-1112042
Adele,First Love,SF-1112253
Adele,He Won't Go,SF-1112246
Adele,Hello,SF-1115886
Adele,Hiding My Heart,SF-1112870
Adele,Hometown Glory,SF-1109167
Adele,I'll Be Waiting,SF-1112248
Adele,Lovesong,SF-1111981
Adele,Make You Feel My Love,SF-1110722
Adele,Melt My Heart To Stone,SF-1112252
Adele,Million Years Ago,SF-1116123
Adele,My Same,SF-1112043
Adele,One & Only,SF-1111795
