ARTIST,SONG TITLE,DISC CODE
10CC,Donna,ZOOM-02562
10CC,Dreadlock Holiday,ZOOM-00826
10CC,I'm Not In Love,ZOOM-00539
10CC,Rubber Bullets,ZOOM-02298
10CC,Things We Do For Love,ZOOM-02553
1910 Fruitgum Company,Simon Says,ZOOM-03457
24kGoldn & Iann Dior (Solo),Mood (Clean),ZOOM-09112
2Pac & Dr. Dre,Changes,ZOOM-05580
2Pac & Dr. Dre & Roger Troutman (Trio),California Love (Radio Edit),ZOOM-04407
3OH!3 & Katy Perry (Duet),Starstrukk,ZOOM-04436
4 Non Blondes,What's Up,ZOOM-03842
4 Non Blondes,What's Up (Acoustative),ZOOM-70038
4 Non Blondes,What's Up (Acoustative) (Original Female Key),ZOOM-80112
4 Non Blondes,What's Up (Acoustative) (Three Semitones Up For Male),ZOOM-80113
4 Non Blondes,What's Up (Acoustative) (Two Semitones Down),ZOOM-80114
5 Seconds Of Summer,Amnesia,ZOOM-05705
5 Seconds Of Summer,Don't Stop,ZOOM-05514
5 Seconds Of Summer,Good Girls,ZOOM-05858
5 Seconds Of Summer,Jet Black Heart,ZOOM-06667
5 Seconds Of Summer,She Looks So Perfect,ZOOM-05311
5 Seconds Of Summer,Teeth,ZOOM-08724
5 Seconds Of Summer,Youngblood,ZOOM-08098
50 Cent,Candy Shop,ZOOM-04482
50 Cent,In Da Club,ZOOM-04136
5ive,Everybody Get Up,ZOOM-04357
5ive,Keep On Movin',ZOOM-04263
A Tribe Called Quest,Can I Kick It,ZOOM-06119
A.R. Rahman & Pussycat Dolls & Nicole Scherzinger (Solo),Jai Ho! (You Are My Destiny),ZOOM-04620
ABBA,(Medley) GimmeGimme+DancingQueen+MammaMia+Waterloo,ZOOM-02235
ABBA,Angel Eyes,ZOOM-02772
ABBA,Angel Eyes (No Verse Bgv),ZOOM-02773
ABBA,Bang-A-Boomerang,ZOOM-02763
ABBA,Chiquitita,ZOOM-02233
ABBA,Dancing Queen,ZOOM-00426
ABBA,Does Your Mother Know,ZOOM-02234
ABBA,Eagle,ZOOM-08823
ABBA,Fernando,ZOOM-02231
ABBA,Gimme Gimme Gimme,ZOOM-00399
Abba,Happy New Year,ZOOM-05267
ABBA,I Have A Dream,ZOOM-02776
ABBA,Knowing Me Knowing You,ZOOM-00407
ABBA,Lay All Your Love On Me,ZOOM-02738
ABBA,Mamma Mia,ZOOM-00442
